reviewText,overall
controller works. no oo oo oo o o o o o  o oo  ooooo  o  ooooo o oot too shabby.,4.0
"Game is 6 years old but still hold up very nice in 2017. At its heart the game is a fantasy open-world sandbox that presents you with countless options to whittle away the hours as you please ranging from resource gathering, crafting, exploring, tinkering with skills and builds, etc. The strength of this particular though is the main storyline with a decent narrative that you can always dive into once you grow weary of the 'side' stuff. Game also looks fantastic when played on a PS4 PRO on a 4K TV with HDR as it can run on native 4k.",4.0
"Product was in great condition, fun game but not a really good fighting game, still enjoyed it.",4.0
good,4.0
"Very psychedelic and colorful, very interesting, and cool storyline, plus it's cheap brand new! Recommend downloading the demo 1st before buying and if you do you should buy this.",4.0
"When Dead Rising first came out, HD tv was still on it's way. It was available but not everyone had upgraded. This was one game that you might have issues with if you didn't have one due to the incredibly small text that you needed to read. It is a fun experience, but it hasn't aged very well if you ask me. While there's bound to be some that consider it to be classic(it is), I'm betting there are more who will try the second one and never look back. Still, if you own an Xbox 360 then you should add this to the library. It's worth the price for what you get.",4.0
"The Telltale Games experience since ""The Walking Dead"" has largely been the same.  They tell complex stories with good episode-to-episode cliffhangers, all through a simple technically-flawed gaming engine.  I don't play their games for innovations in gameplay; I look for a good story at a relatively low price.  ""The Wolf Among Us"" fits the bill, quite admirably.  I won't elaborate too much on story and give you some bullet points that I think will help those of you on the purchase fence:

*  STORY AND ACTING
In a nutshell, ""The Wolf Among Us"" creates a film noir type of murder mystery involving fairy tale characters.  Bigby Wolf (you) are the sheriff trying to keep order in Fabletown however you see fit.  Without spoilers, you'll encounter characters such as Beauty and Beast dealing with marital secrets and woes, and Tweedle Dee and Tweedle Dum as private detectives unafraid to get their hands dirty and their pockets filled, and Ichabod Crane is politician personified.  The story might feel bogged down from time to time with detective sequences that ask you to explore every nook and cranny, but since this is a detective story, it actually feels like a logical pace as opposed to padding out the chapters.  Players get to make certain choices throughout the game which change the experience dramatically in a couple episodes.  The final scene in Chapter 5 is the same no matter what choices you make, but it's preceded by a scene which wonderfully examines choices the player has made from start to finish --- it's a well-written, organic reflection of your experience.  The vocal performances are mostly good, though Telltale's made a few choices that don't really help them in terms of visuals.

*  PRESENTATION
There's no getting around it: Telltale's game engine isn't doing their games any favors.  Action sequences and camera changes get choppy.  Characters move a tad stiff.  And worst of all, there is no longer an option to turn off the ""Will Remember That"" messages during crucial conversations.  I don't mind post-episode stat tracking to compare my choices versus other players, but let me enjoy subtleties while I can.  On the positive side, though, ""The Wolf Among Us"" uses a very pleasing color palette to compliment the seedy undercurrents of Fabletown's secrets.  This is a good-looking game that feels both like a comic and an artistic expression of videogame storytelling.  It might not animate too smoothly, but it's a pretty portrait.  I can't recall the music too well outside of a few tracks, but I don't remember finding it out of place, and remember finding it appropriate to the experience.

REPLAY FACTOR
*  This mostly depends on your love of the story but I would play this story again someday.  Players who want to earn 100% trophies will have to find all of the Book of Fables entries, which requires replaying certain scenes and choosing specific decisions.  In a weird way, I liked doing this so I could explore a few alternative possibilities.  They're not complete game-changers but nice deviations from my initial playthrough.

DISC VS DOWNLOAD
*  I've seen downloads go cheaper from time to time on the PSN Store, but I'll always prefer discs because it's nice to have a hard copy backup in case your system goes bad.  Plus you don't have to wait for downloads and installations.

*  RANDOM EPISODE THOUGHTS
I love Episode 1's suspenseful lead up to its final fistfight.
That Episode 1 shocker might not have been worth undoing.
Episode 3 is probably the most high stakes of the game.
Episode 5 features probably too much action sequences, but somehow everything is brought to a proper finale.
Did I mention that penultimate scene in Episode 5 where everything you've experienced in re-explored?

*  COMPARISONS TO OTHER TELLTALE GAMES
I prefer both seasons of ""The Walking Dead"" over this game, but I'll take ""The Wolf Among Us"" over ""Back To The Future"" or ""Jurassic Park"" any day.  You'll have to take my recommendation with a grain of salt because I actually liked ""Jurassic Park"" as a dumb B-movie experience.  Telltale hasn't finished releasing ""Game of Thrones"" or ""Tales From The Borderlands"" as I type this review.  So far though I enjoy my time with Bigby and the mysteries of Fabletown more.

FINAL RECOMMENDATION
I wouldn't pay more than 15 bucks for ""The Wolf Among Us"", mostly because of the technical imperfections with Telltale's gameplay and presentation.  But in terms of story, it's a good one.  The fantasy elements surpass their origins to create interesting characters and the morality choices play out in mostly logical narratives.  Wait for a dark evening, dim the lights, and explore the shadows of Fabletown!",4.0
"The Order is a very competent game on every level. Instead of rating a game on what you think it should be, trying rating it on what it is being offered. The Order isn't a perfect game, but it offers an entertaining, beautiful, intelligent, simplistic experience. All of the weapons handle differently, I had fun using all of them, which is rare for a game like this. The voice acting is top notch, near flawless. The character movement is a little sluggish, but that is the only negative I can think of. There are a lot of QTE's, dialogue, characters, all of which I had no problem with. If you enjoy a linear game with horror themes, that is exquisitely crafted,  with acceptable weapon variety, I would highly suggest this game.",4.0
"I'll steer clear from all the Securom talk and just focus on the game itself, but just to state that I didn't have any issues installing or running the game and the game hasn't crashed once.

Dead Space is a very good game.  The story line is really well done and the game play is done well too.  It's pretty scary throughout the game and I never found it boring. There are some neat areas where they do things with zero gravity, and the ability to slow things down.

Sadly though the game has some horrible controls.  Maybe it'll be patched, but at the moment the mouse controls are just super sluggish. It seems like they did a really bad port of the console version.  There are some work arounds by turning off VSYNC in the video options of the game and then maxing the mouse sensitivity.  For the most part that fixes a lot of the mouse issues, but it's still a little sluggish in some areas like around corners.

I chose to play the game on medium difficulty because of this. I didn't want to get overly frustrated with mouse aiming on a more challenging difficulty.  It's been a lot of fun and since it's not on extra hard difficulty I don't have to try swinging around and hitting 10 mobs at a time which is good.

The game also plays a lot like Bioshock in the ability to customize your character. You can upgrade your armor and weapons how you see fit (damage, capacity, armor, hitpoints, etc.)  Another unique aspect is the ability to shoot the limbs off all the mobs. The game revolves around this (shooting legs out to slow enemies down, shooting heads off, etc.)

Overall the game is fantastic.  If I had known beforehand, I would have picked this up for the 360 or PS3, but even though the controls are lacking, I had a blast playing it and would recommend people to try it out.",4.0
My husband absolutely loves this! The only problem we have is the controller charging cord is not long enough to reach from the ps4 to our couch. The controller doesn't hold a charge long enough to play half the day straight.,4.0
